57,CASA VOYAGEURS/MARRAKECH,57,179,SRID=3857;POINT (-848966.8315854319 3912203.0097120777),SRID=3857;POINT (-848922.8816039641 3912200.9123020135),1400000,1400000,93,Sidi el Aidi,STATION,LIN09.T001.S.ELAIDI,COMMERCIALE,57200,140,SIDI EL AIDI,oui
58,CASAVOYAGEURS/MARRAKECH V1,246,717,SRID=3857;POINT (-892558.2653818928 3714909.2636906104),SRID=3857;POINT (-892558.2653818928 3714909.2636906104),1100000,1100000,93,Marrakech,STATION,LIN06.T001.MARRAKECH,COMMERCIALE,246500,110,MARRAKECH,oui
59,CASAVOYAGEURS/MARRAKECH V2,0,468,SRID=3857;POINT (-844887.2072772284 3973952.385748759),SRID=3857;POINT (-844906.1497157584 3973968.7008957868),2000000,2000000,93,Casa Voyageurs,STATION,LIN01.T001.C.VOYAGEUR,COMMERCIALE,310,201,CASABLANCA,oui
60,CASAVOYAGEURS/SKACEM,24,16,SRID=3857;POINT (-822380.5946783856 3987974.4339899635),SRID=3857;POINT (-822393.7878223474 3987990.772317675),2170000,2170000,93,Mohammedia,STATION,LIN01.T001.MOHAMMEDIA,COMMERCIALE,24000,217,MOHAMMEDIA,oui
61,CASAVOYAGEURS/SKACEM,61,554,SRID=3857;POINT (-783603.6831410344 4009304.280912946),SRID=3857;POINT (-783570.513805659 4009260.408425089),2230000,2230000,93,Skhirat,STATION,LIN01.T001.SKHIRAT,COMMERCIALE,61500,223,SKHIRAT,oui
62,CASAVOYAGEURS/SKACEM,96,464,SRID=3857;POINT (-757558.5885946482 4035841.5322899716),SRID=3857;POINT (-757542.209689592 4035830.0548569327),2380000,2380000,93,Sale Tabriquet,STATION,LIN01.T001.TABRIQUET,COMMERCIALE,96500,237,SALE,oui
63,CASA VOYAGEURS/MARRAKECH,5,970,SRID=3857;POINT (-849525.6756736285 3969165.2775252187),SRID=3857;POINT (-849535.1448878134 3969168.4921764783),1910000,1910000,,L'Oasis,Haltes,LIN06.T001.L'OASIS,,6000,0,CASABLANCA,
64,CASA VOYAGEURS/MARRAKECH,3,120,SRID=3857;POINT (-847021.2331621158 3971165.801408125),SRID=3857;POINT (-846995.7390491939 3971149.98843224),1930000,1930000,,Mers Sultan,Haltes,LIN06.T001.MERSULTAN,,3100,0,,
65,CASA VOYAGEURS/MARRAKECH,11,136,SRID=3857;POINT (-852514.6574684597 3964186.258232434),SRID=3857;POINT (-852521.9934469995 3964189.449379385),1940000,1940000,,Ennassim,Haltes,LIN06.T001.ENNASSIM,,11100,0,CASABLANCA,
66,CASA VOYAGEURS/MARRAKECH,1,459,SRID=3857;POINT (-845917.2816344568 3972785.2057791264),SRID=3857;POINT (-845923.114807913 3972790.6806387072),1950000,1950000,,Casa Nouvelle Medina,Haltes,LIN06.T001.C.N.MEDINA,,1459,0,CASABLANCA,
67,CASAVOYAGEURS/SKACEM,47,971,SRID=3857;POINT (-797273.7659894808 4000676.5630896767),SRID=3857;POINT (-797261.4885000769 4000655.9411776913),2210000,2210000,93,Bouznika,STATION,LIN01.T001.BOUZNIKA,COMMERCIALE,48000,221,BOUZNIKA,oui
68,CASAVOYAGEURS/SKACEM,155,821,SRID=3857;POINT (-702181.4359504984 4070800.4704782837),SRID=3857;POINT (-702181.980401089 4070776.476654629),2590000,2590000,93,Sidi Yahya,STATION,LIN01.T004.S.YAHIA,COMMERCIALE,155800,259,S YAHYA DU GHAR,oui
69,CASAVOYAGEURS/SKACEM,193,482,SRID=3857;POINT (-657316.7615483197 4065054.921293555),SRID=3857;POINT (-657319.7212676556 4065029.0903032245),2650000,2650000,93,Sidi Slimane,HALT,LIN01.T001.S.SLIMANE,NULL,193500,265,SIDI SLIMANE,oui
70,CASAVOYAGEURS/SKACEM,106,568,SRID=3857;POINT (-749973.4315745698 4045410.4426453207),SRID=3857;POINT (-750003.0494764643 4045432.6187560563),2390000,2390000,93,Sidi Bouknadel,STATION,LIN01.T001.S.BOUKNADEL,COMMERCIALE,106600,239,SIDI BOUKNADEL,oui
71,CASAVOYAGEURS/SKACEM,129,407,SRID=3857;POINT (-731180.1230858302 4064451.169263857),SRID=3857;POINT (-731169.5432343683 4064445.506513373),2510000,2510000,93,Kenitra Medina,STATION,LIN01.T001.KENITRAMd,COMMERCIALE,129400,250,KENITRA,oui
72,CASAVOYAGEURS/SKACEM,144,267,SRID=3857;POINT (-715952.1545239441 4069517.8010503473),SRID=3857;POINT (-715954.9600905651 4069511.387876723),2570000,2570000,93,Sidi Ichou,STATION,LIN01.T001.SIDIICHOU,COMMERCIALE,144300,257,SIDI ICHOU,oui
73,CASAVOYAGEURS/SKACEM,7,611,SRID=3857;POINT (-837591.151830506 3976381.144066939),SRID=3857;POINT (-837583.3790030101 3976366.025100284),2130000,2130000,93,Ain Sebaa,STATION,LIN01.T001.AINSEBAA,COMMERCIALE,7600,201,CASABLANCA,oui
74,CASAVOYAGEURS/SKACEM,18,952,SRID=3857;POINT (-825875.6292830631 3983182.199222026),SRID=3857;POINT (-825851.9622177108 3983157.7887730827),2150000,2150000,93,Zenata,HALT,LIN01.T001.ZENATA,NULL,19000,586,ZENATA,Ã  verifier
75,CASAVOYAGEURS/SKACEM,177,771,SRID=3857;POINT (-675648.7343839498 4067967.0702056983),SRID=3857;POINT (-675638.15869991 4067995.1443024264),2630000,2630000,93,El Ksibiya,HALT,LIN01.T001.ELKSIBIYA,NULL,178100,263,EL KSIBIYA,oui
76,CASAVOYAGEURS/SKACEM,74,179,SRID=3857;POINT (-771526.5397808973 4017738.994698981),SRID=3857;POINT (-771499.3462725439 4017712.4520332627),2270000,2270000,93,Temara,STATION,LIN01.T001.TEMARA,COMMERCIALE,74200,227,TEMARA,oui
77,CASAVOYAGEURS/SKACEM,115,796,SRID=3857;POINT (-741735.4292718319 4052533.615440196),SRID=3857;POINT (-741752.3880645016 4052547.6296954807),2410000,2410000,93,Sidi Et Taibi,HALT,LIN01.T001.S.ETTAIBI,NULL,115800,241,SIDI ETTAIBI,oui
78,CASAVOYAGEURS/SKACEM,35,344,SRID=3857;POINT (-810528.5912999819 3993607.26806107),SRID=3857;POINT (-810511.1813232485 3993586.6308928984),2190000,2190000,93,Mansouriah,HALT,LIN01.T001.MANSOURIAH,NULL,35300,219,MANSOURIA,oui
79,CASAVOYAGEURS/SKACEM,85,815,SRID=3857;POINT (-763347.0704368323 4028967.3776852633),SRID=3857;POINT (-763296.5535912133 4028916.0741930944),2290000,2290000,93,Rabat Agdal,STATION,LIN01.T001.RABATAGD,COMMERCIALE,86000,231,RABAT,oui
80,EL JADIDA/EL JORF V2,101,947,SRID=3857;POINT (-957936.4759465691 3914700.083017305),SRID=3857;POINT (-957951.0247173841 3914703.7344920444),6000000,6000000,93,Jorf Lasfar,HALT,LIN08.T001.J.LASFAR,NULL,102300,600,JORF LASFAR,oui
81,FES/OUJDA,33,15,SRID=3857;POINT (-532261.7965431826 4036879.5098694414),SRID=3857;POINT (-532238.8980139364 4036886.697174803),4110000,4110000,93,Ain Sbit,STATION,LIN02.T001.AINSBIT,COMMERCIALE,33000,411,AIN SBIT,oui
